elapsed time,timestamp,topic,value
13.333007849,1756550037.847188265,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5199
14.020956857,1756550038.535137273,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4952
14.090993475,1756550038.605173891,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5069
14.098207451,1756550038.612387867,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5058
14.231727337,1756550038.745907753,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5096
14.478271565,1756550038.992451981,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5127
14.490926906,1756550039.005107322,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5216
15.052852758,1756550039.567033174,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4890
15.202157964,1756550039.716338380,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4936
15.296825884,1756550039.811006300,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4787
15.610970375,1756550040.125150791,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4994
15.945005282,1756550040.459185698,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4954
16.002299764,1756550040.516480180,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,5012
16.076743943,1756550040.590924359,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4975
16.328367676,1756550040.842548092,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4768
16.624089071,1756550041.138269487,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4750
16.678155603,1756550041.192336019,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4635
16.700944767,1756550041.215125183,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4711
17.060969831,1756550041.575150247,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4552
17.310905442,1756550041.825085858,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4451
17.371818402,1756550041.885998818,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4384
17.454723175,1756550041.968903591,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4403
17.969844531,1756550042.484024947,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4498
18.020985872,1756550042.535166288,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4604
18.581808115,1756550043.095988531,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4601
18.712663474,1756550043.226843890,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4611
18.780493714,1756550043.294674130,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4704
18.972961465,1756550043.487141881,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4796
18.990932421,1756550043.505112837,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4719
19.293648476,1756550043.807828892,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4841
19.356865684,1756550043.871046100,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4885
19.722090859,1756550044.236271275,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4828
19.986789195,1756550044.500969611,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4663
20.05823794,1756550044.572418356,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4760
20.761733947,1756550045.275914363,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4471
21.220953398,1756550045.735133814,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4372
21.276744549,1756550045.790924965,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4469
21.336713474,1756550045.850893890,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4358
21.61225733,1756550046.126437746,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4230
21.9509765,1756550046.465156916,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4178
22.010957821,1756550046.525138237,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,4006
22.332804928,1756550046.846985344,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,3901
22.653546893,1756550047.167727309,/putm_vcl/amk/rear/left/actual_values1.actual_velocity,3657
